Strike,Price,Type
5,178.1,Call
10,173.72,Call
15,176.91,Call
20,161.09,Call
25,155.47,Call
30,153.7,Call
35,153.95,Call
40,141.25,Call
45,141,Call
50,135.85,Call
55,129.25,Call
60,127.37,Call
65,118.16,Call
70,114,Call
75,108.34,Call
80,107.42,Call
85,103.13,Call
90,94.8,Call
95,95.15,Call
100,87.15,Call
105,82.25,Call
110,78.83,Call
115,78.9,Call
120,72,Call
125,70.15,Call
130,63.42,Call
135,59,Call
140,56.4,Call
145,53.5,Call
150,50.3,Call
155,46.5,Call
160,44.2,Call
165,41.5,Call
170,38.2,Call
175,36.21,Call
180,33.91,Call
185,31.58,Call
190,29.3,Call
195,27.25,Call
200,25.4,Call
210,21.6,Call
220,18.85,Call
230,16.16,Call
240,13.91,Call
250,11.9,Call
260,10.06,Call
270,8.88,Call
280,7.56,Call
290,6.45,Call
300,5.55,Call
310,4.58,Call
320,4.1,Call
330,3.65,Call
340,3.2,Call
350,2.68,Call
360,2.3,Call
370,2.23,Call
380,2.18,Call
390,1.8,Call
400,1.4,Call
410,1.25,Call
420,1.11,Call
5,0.01,Put
10,0.01,Put
15,0.02,Put
20,0.04,Put
25,0.07,Put
30,0.09,Put
35,0.15,Put
40,0.2,Put
45,0.27,Put
50,0.34,Put
55,0.57,Put
60,0.67,Put
65,0.84,Put
70,1.09,Put
75,1.32,Put
80,1.5,Put
85,2.04,Put
90,2.54,Put
95,3.04,Put
100,3.62,Put
105,3.8,Put
110,5.1,Put
115,5.31,Put
120,6.95,Put
125,7.97,Put
130,9.2,Put
135,10.6,Put
140,12,Put
145,13.6,Put
150,15.4,Put
155,17.1,Put
160,18.9,Put
165,21.2,Put
170,23.45,Put
175,25.8,Put
180,28,Put
185,30.65,Put
190,33.45,Put
195,36.65,Put
200,39.3,Put
210,43.8,Put
220,53.27,Put
230,58.2,Put
240,65.2,Put
250,77,Put
260,81.35,Put
270,89.45,Put
280,101.55,Put
290,109.2,Put
300,121.75,Put
310,117.6,Put
320,139.65,Put
330,147.57,Put
340,159.9,Put
350,164.49,Put
360,186.69,Put
370,189.73,Put
380,194.9,Put
390,205,Put
400,211.3,Put
410,229.17,Put
420,230.72,Put
